B1_DESC,B1_DESC_2,Equivalencia,Cantidad,Cantidad Comprobantes,Cant Clientes,80/20,Meses Vendidos,Peso,Ancho,Largo,Alto,Clasificacion CD
ROD6008SKF,6008,209800,127,44,26,0.00001749772497432751,27,0.197,23,76,78,CC1
ROD6210SKF,6210,229100,234,70,32,0.00008694306974881573,30,0.464,25,104,106,BB1
ROD6414SKF,6414,232400,4,8,4,0.00003190489755223622,6,4.9206,53,187,191,CD2
ROD6208SKF,6208,232900,450,119,61,0.00009086724427239988,34,0.367,25,84,86,BB1
ROD6304SKF,6304,247000,179,71,31,0.00001720548812191147,31,0.146,19,55,57,CB1
ROD6032SKF,6032,255800,3,1,1,0.00002183818933048529,1,5.2292,46,247,251,OO9
ROD1219SKF,1219,256300,6,2,2,0.0000254628297675265,2,3.113,36,174,176,CD2
ROD6303SKF,6303,258800,117,23,10,0.000009450265681696176,17,0.117,19,55,57,CC1
ROD6220SKF,6220,263000,54,19,12,0.00014176128245956958,12,3.2319,46,197,201,BC1
ROD6309SKF,6309,266000,547,119,51,0.00023275049478809073,34,0.841,29,104,106,BB1
ROD6221SKF,6221,269800,1,1,1,0.00000444366809595274,1,3.7976,46,207,211,CD9
ROD6212SKF,6212,282600,153,47,32,0.00009689684458526913,27,0.7884,28,124,126,CC1
ROD6026SKF,6026,301700,31,23,7,0.00021005505419136248,16,3.2784,46,217,221,BD1
ROD6219SKF,6219,322000,38,21,9,0.00010044677524434429,12,2.618,38,184,186,BC1
ROD10SKF32,K 10X13X10 TN,450090,5,3,2,8.836603040356441E-7,3,0.0055,19,40,40,OO9
ROD12SKF25,K 12X15X13 TN,450140,19,15,11,0.000003351515388290912,12,0.005,15,49,49,CC1
ROD12SKF26,K 12X16X13 TN,450180,2,2,1,3.874483834053257E-7,2,0.0069,15,49,49,OO9
ROD14SKF8,K 14X18X13,450270,9,7,5,0.0000017787876902707283,7,0.009,15,49,49,CD2
ROD14SKF9,K 14X18X17,450300,11,10,6,0.000002440056097105109,9,0.0135,33,47,47,CD1
ROD16SKF9,K 16X22X12,450560,4,3,3,0.000001055666537027246,3,0.014,19,40,40,CD2
ROD18SKF6,K 18X24X12,450690,1,1,1,3.780662252421474E-7,1,0.015,15,49,49,OO9
ROD20SKF27,K 20x24x13,450880,1,1,1,3.6903155441834607E-7,1,0.012,15,49,49,CD9
ROD20SKF29,K 20X28X20,450950,8,7,6,0.000003325453837837639,6,0.0335,33,47,47,CD1
ROD22SKF4,K 22X26X13,451030,1,1,1,2.2204440986188617E-7,1,0.013,15,49,49,CD9
ROD24SKF6,K 24X28X13,451190,3,2,2,9.990261007087994E-7,2,0.013,15,49,49,CD9
ROD24SKF7,K 24X28X17,451220,4,3,3,0.0000019459291005110526,3,0.0185,33,47,47,CD9
ROD25SKF35,K 25X30X20,451320,79,41,28,0.0000280721121989082,25,0.024,20,30,30,CC1
ROD25SKF36,K 25X31X21,451420,2,4,3,8.082555513908408E-7,3,0.0295,33,47,47,CD2
ROD25SKF37,K 25X33X20,451460,1,1,1,5.601495910756816E-7,1,0.039,40,40,40,OO9
ROD25SKF38,K 25X33X24,451480,6,5,4,0.000002713181145855411,5,0.0445,33,47,47,CD1
ROD30SKF36,K 30X40X30,452080,2,3,2,0.000001192576548741774,2,0.088,40,58,58,CD2
ROD35SKF23,K 35X45X20,452570,13,6,4,0.000009590650566804475,6,0.064,26,55,57,CD2
ROD38SKF3,K 38X43X17,452680,4,2,2,0.00000228959407915488,2,0.0328,23,55,57,CD9
ROD42SKF3,K 42X47X17,452940,4,4,3,0.0000017249271526672974,3,0.036,23,55,57,CD2
ROD42SKF4,K 42X50X20,453040,2,1,1,0.0000010619213091360316,1,0.0592,26,55,57,CD9
ROD45SKF18,K 45X50X17,453160,10,5,4,0.000004031895598791026,4,0.0348,23,55,57,CD2
ROD50SKF22,K 50X55X20,453860,12,6,5,0.000006119599533767883,6,0.0489,29,65,67,CD2
ROD509SKF9,HK 0509,456560,6,3,2,0.0000011140444100425778,3,0.0244,23,46,46,CD9
ROD608SKF9,HK 0608,456580,52,23,10,0.000008210083367459757,16,0.026,42,94,74,CC1
ROD609SKF7,HK 0609,456600,172,12,9,0.000010028137127080085,10,0.0071,23,45,47,CC1
ROD709SKF,HK 0709,456620,11,11,6,8.218075576265429E-7,9,0.0063,19,40,40,CC1
ROD808SKF,HK 0808,456640,118,61,22,0.00001601464900986659,31,0.0066,19,40,40,CB1
ROD810SKF2,HK 0810,456660,592,129,40,0.000036913232574676535,34,0.0071,19,40,40,CB1
ROD908SKF,HK 0908,456680,15,2,1,0.000002842793923443022,2,0.0055,19,40,40,CD9
ROD910SKF,HK 0910,456700,55,27,14,0.00000931092325860601,17,0.0064,15,49,49,CC1
ROD912SKF,HK 0912,456720,3,1,1,3.6381924432769147E-7,1,0.0078,15,49,49,CD9
ROD1010SKF2,HK 1010,456740,801,69,30,0.000041704735497345624,29,0.0078,19,40,40,CB1
ROD1012SKF,HK 1012,456760,30,9,8,0.000004005486560998376,8,0.0091,15,63,63,CD1
ROD1015SKF2,HK 1015,456780,18,4,2,0.0000019049255944645699,4,0.0123,40,40,40,CD9
ROD1210SKF6,HK 1210,456800,151,44,21,0.00001611159797755276,24,0.0056,19,40,40,CC1
ROD1212SKF6,HK 1212,456820,130,34,11,0.000006106395014871558,16,0.0125,15,49,49,CC1
ROD1216SKF4,HK 1216.2RS,456860,54,5,5,0.000006557781068722247,4,0.0162,33,47,47,OO9
ROD1312SKF5,HK 1312,456900,24,15,8,0.000004179230230686862,11,0.0121,12,19,19,CC1
ROD1412SKF2,HK 1412,456940,202,39,16,0.00003280280483718631,19,0.0135,15,63,63,CC1
ROD1414SKF,HK 1414 RS,456960,1,1,1,2.856345929678724E-7,1,0.0163,33,47,47,OO9
ROD1416SKF,HK 1416.2RS,456980,1,1,1,2.7451499810780925E-7,1,0.0183,33,47,47,OO9
ROD1512SKF2,HK 1512,457000,143,71,34,0.00002601012232704524,31,0.0132,15,49,49,CB1
ROD1516SKF2,HK 1516,457040,354,34,18,0.00005874516713305305,22,0.0216,40,40,40,CC1
ROD1522SKF,HK 1522,457100,32,9,5,0.000006555696144685986,8,0.0255,33,47,47,CD1
ROD1612SKF2,HK 1612,457120,218,29,18,0.00003356380211042189,21,0.0155,15,63,63,CC1
ROD1614SKF,HK 1614 RS,457140,1,1,1,2.5818309315709147E-7,1,0.0171,33,47,47,OO9
