B1_DESC,B1_DESC_2,Equivalencia,Cantidad,Cantidad Comprobantes,Cant Clientes,80/20,Meses Vendidos,Peso,Ancho,Largo,Alto,Clasificacion CD
ROD2200SKF,2200 E-2RS1TN9,100,123,9,4,0.000059103079092611326,8,0.0515,23,45,47,BC1
ROD2201SKF2,2201 ETN9,110,35,11,3,0.00001573109934093498,8,0.0545,23,45,47,CD2
ROD2202SKF2,2202 ETN9,200,22,10,5,0.000016960162060311334,6,0.0591,23,45,47,CC1
ROD2203SKF2,2203 ETN9,300,2,2,2,0.00000219542501018372,1,0.091,23,60,62,CD2
ROD2204SKF3,2204 ETN9,400,39,18,7,0.00003354503779409553,12,0.136,23,60,62,CD1
ROD2205SKF6,2205 ETN9,500,67,27,20,0.00004457081107252691,17,0.1555,29,65,67,CC1
ROD2205SKF7,2205 ETN9/C3,500,17,2,2,0.00000844289988484233,2,0.1542,29,65,67,CD2
ROD2206SKF6,2206 ETN9,600,138,44,24,0.00008386641684597199,25,0.2515,28,76,78,BC1
ROD2207SKF7,2207 ETN9,700,346,81,44,0.00027096610991075225,31,0.4,30,84,86,AB1
ROD2207SKF8,2207 ETN9/C3,700,11,7,5,0.000010905195171667566,7,0.4,30,84,86,CD1
ROD2208SKF7,2208 ETN9,800,191,67,33,0.00021057802263712484,27,0.5,27,94,96,BB1
ROD2208SKF8,2208 ETN9/C3,800,32,16,10,0.00003112235606395927,11,0.5,27,94,96,CD1
ROD2209SKF6,2209 ETN9,900,70,47,30,0.00007625331672756185,20,0.552,27,94,96,BC1
ROD2209SKF7,2209 ETN9/C3,900,0,2,1,-6.949746787539326E-10,1,0.552,27,94,96,CD9
ROD2210SKF6,2210 ETN9,1000,23,14,12,0.000028938050648635615,9,0.58,29,104,106,CC1
ROD2211SKF6,2211 ETN9,1100,7,6,4,0.000014351922090947768,5,0.796,31,114,116,CD9
ROD2212SKF4,2212 ETN9,1200,33,26,15,0.000054190650575839065,15,1.08,33,124,126,CC1
ROD2213SKF5,2213 ETN9,1300,5,6,4,0.000007639509156202765,4,1.409,35,134,136,CD9
ROD2213SKF6,2213 ETN9/C3,1300,4,1,1,0.000012673558241756986,1,1.419,35,134,136,OO9
ROD2214SKF,2214,1400,21,8,8,0.00006459581146614316,7,1.558,35,134,136,CD1
ROD2215SKF3,2215 ETN9,1500,6,1,1,0.000010914229842491366,1,1.57,40,144,146,OO9
ROD2215SKF4,2215 ETN9/C3,1500,5,7,6,0.00001920840514608035,6,1.61,40,144,146,CD2
ROD2216SKF3,2216 ETN9,1600,4,4,3,0.000013633318273116187,4,1.991,40,144,146,CD2
ROD2205SKF5,2205 EKTN9,1700,29,7,5,0.00001819582703913585,6,0.1475,29,65,67,CD1
ROD2206SKF5,2206 EKTN9,1800,14,9,8,0.000009736247762003427,7,0.2455,28,76,78,CC1
ROD2207SKF5,2207 EKTN9,1900,53,20,16,0.00004506528555646036,15,0.388,30,84,86,CC1
ROD2207SKF6,2207 EKTN9/C3,1900,10,3,3,0.000010430527466078619,3,0.388,30,84,86,CD2
ROD2208SKF5,2208 EKTN9,2000,81,36,19,0.00007947070200285325,19,0.485,27,94,96,BC1
ROD2208SKF6,2208 EKTN9/C3,2000,2,1,1,0.0000018941534869438836,1,0.489,27,94,96,CD9
ROD2209SKF4,2209 EKTN9,2100,268,89,38,0.00028227543285811515,31,0.536,27,94,96,BB1
ROD2209SKF5,2209 EKTN9/C3,2100,46,29,13,0.000057429232578832456,15,0.547,27,94,96,CC1
ROD2210SKF4,2210 EKTN9,2200,80,34,16,0.00011474379433567048,20,0.56,29,104,106,BC1
ROD2210SKF5,2210 EKTN9/C3,2200,4,1,1,0.000004235175692326555,1,0.566,29,104,106,CD9
ROD2211SKF4,2211 EKTN9,2300,127,58,31,0.0002028676260636892,28,0.789,31,114,116,BC1
ROD2211SKF5,2211 EKTN9/C3,2300,10,3,1,0.000009660495522019246,3,0.789,31,114,116,CD9
ROD2212SKF2,2212 EKTN9,2400,89,58,13,0.00017758305730126306,31,1.066,33,124,126,BC1
ROD2213SKF3,2213 EKTN9,2500,127,71,29,0.00030283347883033564,27,1.368,35,134,136,BB1
ROD2213SKF4,2213 EKTN9/C3,2500,27,11,8,0.000047527928330624965,9,1.368,35,134,136,CC1
ROD2215SKF,2215 EKTN9,2600,34,17,12,0.00008982825712766272,13,1.53,40,144,146,BC1
ROD2215SKF2,2215 EKTN9/C3,2600,9,5,5,0.0000270157506872022,4,1.53,40,144,146,CD1
ROD2216SKF,2216 EKTN9,2700,49,25,12,0.00014557877836996502,17,1.96,40,144,146,BC1
ROD2217SKF2,2217 K,2800,7,2,2,0.000024451989097278883,1,2.524,48,157,161,OO9
ROD2218SKF2,2218 K,2900,7,3,2,0.000030048272697945047,3,3.202,47,164,166,CD2
ROD2219SKF,2219 KM,2950,1,1,1,0.000008108964551701059,1,4.241,53,177,181,CD9
ROD2220SKF,2220 KM,3000,8,7,2,0.00013437335413707575,5,5.11,53,187,191,OO9
ROD2220SKF10,2220 M,3010,2,1,1,0.000017614133233018796,1,5.22,53,187,191,CD9
ROD2201SKF,2201 E-2RS1TN9,3090,156,15,8,0.00009608163928709073,10,0.0584,23,45,47,CD1
ROD2202SKF,2202 E-2RS1TN9,3100,255,30,10,0.00011893240672452054,15,0.064,23,45,47,BC1
ROD2203SKF,2203 E-2RS1TN9,3200,50,17,8,0.000046396509553613524,14,0.097,23,60,62,CC1
ROD2204SKF,2204 E-2RS1TN9,3300,184,48,24,0.00016192041296618536,25,0.1465,23,60,62,BC1
ROD2205SKF3,2205 E-2RS1TN9,3400,422,89,26,0.0002994823109293842,31,0.1665,29,65,67,AB1
ROD2205SKF4,2205 E-2RS1TN9/C3,3400,19,2,2,0.000009534010130486028,2,0.1645,29,65,67,CD2
ROD2206SKF3,2206 E-2RS1TN9,3500,263,53,26,0.0001805735333439412,33,0.2665,28,76,78,BB1
ROD2207SKF3,2207 E-2RS1TN9,3600,150,59,31,0.000157219951726433,23,0.414,30,84,86,BC1
ROD2207SKF4,2207 E-2RS1TN9/C3,3600,4,2,1,0.000002458472926092089,2,0.427,30,84,86,CD9
ROD2208SKF3,2208 E-2RS1TN9,3700,85,29,20,0.00008810332997499544,21,0.523,27,94,96,BC1
ROD2209SKF3,2209 E-2RS1TN9,3800,41,18,12,0.000047915029226690896,14,0.56,27,94,96,CC1
ROD2210SKF3,2210 E-2RS1TN9,3900,41,13,5,0.00005448080250421882,8,0.606,29,104,106,BC1
ROD2211SKF3,2211 E-2RS1TN9,4000,27,9,4,0.00003961390417631437,9,0.822,31,114,116,CD1
ROD2212SKF,2212 E-2RS1TN9,4100,14,7,2,0.000025812749518279113,5,1.136,33,124,126,CD2
ROD2214SKF2,2214 E-2RS1TN9,4120,25,11,4,0.00007837507442179767,11,1.556,35,134,136,CD1
ROD2205SKF,2205 E-2RS1KTN9,4200,10,1,1,0.000013129114143680197,1,0.1595,29,65,67,OO9
ROD2206SKF,2206 E-2RS1KTN9,4300,16,4,1,0.000019842569540443328,3,0.2575,28,76,78,OO9
ROD2206SKF2,2206 E-2RS1KTN9/C3,4300,3,2,2,0.000001770795481465058,2,0.2575,28,76,78,CD2
ROD2207SKF,2207 E-2RS1KTN9,4400,134,22,10,0.00016557424233973415,17,0.407,30,84,86,BC1
ROD2207SKF2,2207 E-2RS1KTN9/C3,4400,6,2,1,0.000004382162836883015,2,0.407,30,84,86,CD9
ROD2208SKF,2208 E-2RS1KTN9,4500,14,2,2,0.000020809626805929446,2,0.519,27,94,96,CD9
ROD2208SKF2,2208 E-2RS1KTN9/C3,4500,18,5,4,0.000030418346714381525,5,0.519,27,94,96,CD2
ROD2209SKF,2209 E-2RS1KTN9,4510,59,27,11,0.00007696323336190902,16,0.5378,27,94,96,CC1
ROD2210SKF,2210 E-2RS1KTN9,4520,26,11,7,0.00004138713206915507,10,0.593,29,104,106,CD1
ROD2211SKF,2211 E-2RS1KTN9,4530,7,6,5,0.00000830633736046718,5,0.815,31,114,116,CD1
ROD2305SKF2,2305 ETN9,5000,10,7,3,0.000010013195171486876,5,0.3185,28,76,78,CD2
ROD2305SKF4,2305 M,5000,8,4,2,0.000023923460854086505,4,0.3685,28,76,78,CD2
ROD2305SKF5,2305 M/P6,5000,11,9,2,0.000026060855478594276,7,0.3701,28,76,78,CD1
ROD2306SKF,2306,5100,8,7,5,0.000008392861707972046,7,0.519,37,94,96,CD2
ROD2307SKF6,2307 ETN9,5200,37,19,13,0.000044642740951777944,13,0.6785,37,94,96,CC1
ROD2307SKF7,2307 ETN9/C3,5200,4,1,1,0.000003591281652461023,1,0.6785,37,94,96,OO9
ROD2307SKF4,2307 EM,5202,4,3,2,0.000004898181535857822,3,0.777,37,94,96,CD9
ROD2308SKF4,2308 EM,5300,39,16,4,0.000042626619408712745,12,1.024,40,104,106,CD1
ROD2308SKF5,2308 EM/P6,5300,10,4,2,0.00001041662797250354,4,1.018,40,104,106,CD2
ROD2308SKF6,2308 ETN9,5300,54,33,19,0.00008340008883652807,16,0.908,40,104,106,BC1
ROD2309SKF4,2309 EM,5400,36,20,8,0.00009831528790460594,16,1.355,44,114,116,BC1
ROD2309SKF6,2309 ETN9,5400,28,19,12,0.00005913192054177961,12,1.246,44,114,116,CC1
ROD2309SKF7,2309 ETN9/C3,5400,2,1,1,0.000007962672381823353,1,1.236,44,114,116,OO9
ROD2309SKF9,2309 M/VQ335,5430,2,3,1,0.000004495096222180532,1,1.406,44,114,116,CD9
ROD2310SKF,2310,5500,30,20,13,0.00007607158084906771,14,1.662,50,124,126,BC1
ROD2310SKF6,2310/C3,5500,8,5,3,0.000022919222443287052,5,1.662,50,124,126,CD2
ROD2312SKF,2312,5520,12,10,6,0.00005081932840920365,9,2.654,53,134,136,CC1
ROD2313SKF,2313,5600,23,6,2,0.00008204697313699414,5,3.281,58,147,151,BD1
ROD2315SKF,2315,5610,4,2,1,0.00004498675341776115,2,4.935,65,167,171,OO9
ROD2315SKF5,2315/C3,5610,5,2,2,0.00003264747799648481,2,4.935,65,167,171,CD9
ROD2306SKF4,2306 K/C3,5800,9,2,1,0.000009943350216272101,2,0.502,37,94,96,OO9
ROD2307SKF2,2307 EKTN9,5900,2,1,1,0.0000028573883916968547,1,0.661,37,94,96,CD9
ROD2308SKF2,2308 EKTN9,6000,7,2,2,0.00001328374600970295,2,0.886,40,104,106,CD9
ROD2308SKF3,2308 EKTN9/C3,6000,6,1,1,0.00001132495987763495,1,0.896,40,104,106,CD9
ROD2310SKF3,2310 K,6200,14,8,4,0.000055256046758368845,5,1.647,50,124,126,CD2
ROD2310SKF4,2310 K/C3,6200,5,3,2,0.000013657642386872572,3,1.647,50,124,126,CD2
ROD2311SKF2,2311 K,6300,7,4,3,0.000026457338532823404,4,2.094,53,134,136,CD2
ROD2312SKF2,2312 K,6400,8,2,2,0.000035037148429380254,2,2.604,53,134,136,CD9
ROD2312SKF3,2312 K/C3,6400,-1,1,1,-0.0000013552006235701974,1,2.584,53,134,136,OO9
ROD2313SKF2,2313 K,6500,88,35,7,0.0005272189108976046,16,3.227,58,147,151,BD1
ROD2313SKF3,2313 K/C3,6500,4,2,2,0.000017356992601879835,2,3.227,58,147,151,CD2
ROD2315SKF2,2315 K,6600,44,27,5,0.0004453616658479103,16,4.764,65,167,171,BD1
ROD2316SKF,2316 K/C3,6610,1,1,1,0.000017012285161217877,1,5.688,62,174,176,OO9
ROD2317SKF,2317 KM,6620,7,3,1,0.00013861930193692298,3,7.261,67,187,191,OO9
ROD2317SKF2,2317 KM/C3,6620,14,10,2,0.00022238425247979687,7,7.261,67,187,191,CD9
ROD2304SKF,2304 E-2RS1TN9,6800,2,2,2,0.0000013346988705469559,1,0.2105,29,65,67,CD2
ROD2305SKF,2305 E-2RS1TN9,6900,133,24,10,0.00010094889444974402,14,0.3535,28,76,78,BC1
ROD2306SKF2,2306 E-2RS1TN9,6910,87,23,7,0.00009511492950894399,14,0.543,37,94,96,BC1
ROD2307SKF,2307 E-2RS1TN9,7000,6,3,2,0.000009953774836453413,3,0.716,37,94,96,CD9
ROD2308SKF,2308 E-2RS1TN9,7100,27,10,5,0.00004154384885921409,8,0.944,40,104,106,CC1
ROD2309SKF,2309 E-2RS1TN9,7110,4,2,1,0.0000069997849644097585,2,1.271,44,114,116,CD9
ROD2310SKF2,2310 E-2RS1TN9,7120,20,17,12,0.000053769148433174775,14,1.697,50,124,126,CC1
ROD1200SKF,1200 ETN9,7900,36,11,8,0.00002036484301152692,9,0.0348,17,45,47,CD1
ROD1201SKF,1201 ETN9,8000,23,10,8,0.00001528527308451432,7,0.0438,23,45,47,CD9
ROD1202SKF,1202 ETN9,8100,52,29,13,0.00003532869030711754,20,0.052,13,80,80,CC1
ROD1203SKF2,1203 ETN9,8200,40,17,14,0.0000331954655306823,15,0.075,20,60,62,CC1
ROD1204SKF3,1204 ETN9,8300,231,52,23,0.00016743086719402545,27,0.119,20,60,62,BC1
ROD1205SKF3,1205 ETN9,8400,656,146,68,0.0003281395918078031,36,0.1404,22,65,67,AB1
ROD1205SKF4,1205 ETN9/C3,8400,66,11,4,0.000032175937676950255,8,0.1444,22,65,67,CC1
ROD1206SKF4,1206 ETN9,8500,651,165,82,0.00038374034600683417,36,0.228,23,76,78,AB1
ROD1206SKF5,1206 ETN9/C3,8500,30,18,12,0.00002015357070918572,12,0.228,23,76,78,CC1
ROD1207SKF4,1207 ETN9,8600,204,86,48,0.00015289998912329845,34,0.326,25,84,86,BB1
ROD1207SKF5,1207 ETN9/C3,8600,5,4,4,0.0000032031382943769437,4,0.326,25,84,86,CD1
ROD1208SKF4,1208 ETN9,8700,151,75,41,0.00013345008027635115,28,0.425,27,94,96,BB1
ROD1208SKF5,1208 ETN9/C3,8700,22,11,9,0.000019118405925181715,8,0.424,27,94,96,CD1
ROD1209SKF3,1209 ETN9,8800,177,85,49,0.00019633521157074138,33,0.471,27,94,96,BB1
ROD1210SKF3,1210 ETN9,8900,113,41,30,0.00010829060695610073,23,0.529,29,104,106,BB1
ROD1211SKF3,1211 ETN9,9000,64,37,20,0.00010003535023452197,23,0.715,26,114,116,BC1
ROD1211SKF4,1211 ETN9/C3,9000,69,21,6,0.00010010415272771858,13,0.715,26,114,116,BC1
ROD1212SKF3,1212 ETN9,9100,54,23,14,0.0000613461098682897,16,0.91,28,124,126,BC1
ROD1213SKF3,1213 ETN9,9200,28,21,8,0.000041978208033435303,13,1.146,29,134,136,CC1
ROD1213SKF4,1213 ETN9/C3,9200,3,1,1,0.0000031388531365922035,1,1.146,29,134,136,CD9
ROD1214SKF,1214 ETN9,9300,20,12,4,0.000055296702777075955,7,1.262,29,134,136,BD1
ROD1215SKF,1215,9400,3,2,1,0.00000732677055076349,2,1.35,32,144,146,OO9
ROD1218SKF,1218,9700,1,1,1,0.000004331429685333977,1,2.548,34,164,166,CD9
ROD1218SKF4,1218/C5,9700,7,4,1,0.0001265100631343142,3,2.538,34,164,166,BD9
ROD1220SKF,1220,9900,5,3,3,0.000026595638493895436,3,3.81,38,184,186,CD2
ROD1205SKF,1205 EKTN9,10100,26,15,9,0.000014456863267439617,11,0.1339,22,65,67,CC1
ROD1206SKF,1206 EKTN9,10200,252,54,26,0.00011954606936586027,26,0.221,23,76,78,BC1
ROD1207SKF,1207 EKTN9,10300,405,121,46,0.0002421423825967716,34,0.32,25,84,86,AB1
ROD1207SKF3,1207 EKTN9/C3,10300,9,6,4,0.000005569874562873511,5,0.32,25,84,86,CD2
ROD1207SKF2,1207 EKTN9 + H 207,10380,5,1,1,0.000006276316323826899,1,,,,,OO9
ROD1208SKF,1208 EKTN9,10400,565,164,70,0.0005398608477914783,35,0.424,27,94,96,AB1
ROD1208SKF3,1208 EKTN9/C3,10400,28,9,7,0.000029793911965521103,6,0.424,27,94,96,CD2
ROD1209SKF,1209 EKTN9,10500,590,165,61,0.0005695543359159193,36,0.47,27,94,96,AB1
ROD1209SKF2,1209 EKTN9/C3,10500,35,21,18,0.000037615504487557406,15,0.47,27,94,96,CC1
ROD1210SKF,1210 EKTN9,10600,352,129,51,0.0003736058777539046,33,0.516,29,104,106,AB1
ROD1210SKF2,1210 EKTN9/C3,10600,30,20,8,0.00003470946786834777,14,0.516,29,104,106,CC1
ROD1211SKF,1211 EKTN9,10700,615,141,51,0.0007017958552259176,34,0.6942,26,114,116,AB1
ROD1211SKF2,1211 EKTN9/C3,10700,71,16,6,0.00006669185509726505,8,0.702,26,114,116,BC1
ROD1212SKF,1212 EKTN9,10800,117,47,23,0.00013777143282884315,23,0.907,28,124,126,BC1
ROD1212SKF2,1212 EKTN9/C3,10800,10,8,6,0.00001591457265612602,5,0.897,28,124,126,CD1
ROD1213SKF,1213 EKTN9,10900,186,81,38,0.00030836512978587774,30,1.136,29,134,136,BB1
ROD1213SKF2,1213 EKTN9/C3,10900,27,12,7,0.00004388973588734804,9,1.136,29,134,136,CC1
ROD1215SKF2,1215 K,11100,21,19,11,0.00005839038255954915,9,1.353,32,144,146,BC1
ROD1215SKF3,1215 K/C3,11100,56,20,9,0.00014300841452059352,12,1.354,32,144,146,BD1
ROD1216SKF2,1216 K,11200,8,6,4,0.000027437947804545225,5,1.668,32,144,146,CD2
ROD1216SKF3,1216 K/C3,11200,6,7,3,0.000018398412157992627,5,1.684,32,144,146,CD2
ROD1217SKF2,1217 K,11300,114,55,11,0.0005191471274912169,26,2.06,32,154,156,AC1
ROD1218SKF2,1218 K,11400,15,10,9,0.00007677281029993044,7,2.518,34,164,166,BD1
ROD1220SKF2,1220 K,11600,1,1,1,0.000007420244645055896,1,3.725,38,184,186,OO9
ROD1222SKF2,1222 K,11700,4,2,1,0.000030128542273341126,2,5.155,53,210,215,CD9
ROD1303SKF2,1303 ETN9,11900,2,1,1,0.000002129054928362718,1,0.128,20,60,62,OO9
ROD1304SKF,1304 ETN9,12000,44,10,9,0.00003660952864006107,9,0.1644,22,65,67,CD1
ROD1305SKF2,1305 ETN9,12100,120,41,25,0.00008334275342553087,23,0.266,23,76,78,CC1
ROD1306SKF3,1306 ETN9,12200,161,60,30,0.0001519165999528616,29,0.4,25,84,86,BC1
ROD1306SKF4,1306 ETN9/C3,12200,3,3,2,0.000003438387223135155,3,0.397,25,84,86,CD2
ROD1307SKF3,1307 ETN9,12300,88,47,29,0.0000935880701397216,27,0.516,27,94,96,BB1
ROD1307SKF4,1307 ETN9/C3,12300,28,10,3,0.00002006426646296584,8,0.529,27,94,96,CC1
ROD1308SKF4,1308 ETN9,12400,130,50,29,0.00017297885005451813,27,0.704,29,104,106,BC1
ROD1309SKF3,1309 ETN9,12500,45,26,17,0.00006395434983765325,14,0.957,31,114,116,BC1
ROD1310SKF3,1310 ETN9,12600,31,21,16,0.00005557573511059567,17,1.216,33,124,126,BC1
ROD1311SKF3,1311 ETN9,12700,84,33,7,0.00017325267007794724,19,1.558,35,134,136,CD1
ROD1311SKF4,1311 ETN9/C3,12700,6,4,4,0.000012533173356648688,4,1.578,35,134,136,CD9
ROD1312SKF3,1312 ETN9,12800,50,4,2,0.0000855955138467118,4,1.98,40,144,146,BD2
ROD1313SKF3,1313 ETN9,12900,10,6,3,0.000030984751077565986,5,2.44,40,144,146,CD1
ROD1306SKF,1306 EKTN9,13700,3,2,2,0.0000022576252439321983,2,0.394,25,84,86,CD2
ROD1307SKF,1307 EKTN9,13800,2,3,2,0.0000036854507214321833,3,0.519,27,94,96,CD9
ROD1308SKF,1308 EKTN9,13900,30,13,5,0.00004891996261216911,8,0.695,29,104,106,BC1
ROD1308SKF2,1308 EKTN9/C3,13900,12,3,2,0.000010841604988561579,3,0.694,29,104,106,CD2
ROD1309SKF,1309 EKTN9,14000,68,27,14,0.00012486123570897042,15,0.9305,31,114,116,BC1
ROD1309SKF2,1309 EKTN9/C3,14000,4,5,2,0.00000434949902698158,3,0.942,31,114,116,CD2
ROD1310SKF,1310 EKTN9,14100,44,12,4,0.000048975213099130055,8,1.196,33,124,126,BC1
ROD1310SKF2,1310 EKTN9/C3,14100,20,10,2,0.000044495753807221484,9,1.186,33,124,126,CD1
ROD1311SKF,1311 EKTN9,14200,52,29,19,0.00009950473706729331,19,1.543,35,134,136,BC1
ROD1311SKF2,1311 EKTN9/C3,14200,10,5,5,0.000022451851971825024,5,1.543,35,134,136,CD2
ROD1312SKF,1312 EKTN9,14300,28,13,7,0.00006743756292756803,10,1.95,40,144,146,BC1
ROD1312SKF2,1312 EKTN9/C3,14300,1,1,1,0.000005144897546815472,1,1.95,40,144,146,OO9
ROD1313SKF,1313 EKTN9,14400,33,13,7,0.00010887959799634469,11,2.415,40,144,146,BD1
ROD1315SKF2,1315 K,14600,9,5,4,0.00007647744606146,5,3.569,44,167,171,CD9
ROD1316SKF2,1316 K,14700,4,3,2,0.000014835624467360517,2,4.16,43,174,176,OO9
ROD1316SKF3,1316 K/C3,14700,2,1,1,0.000011732215039384762,1,4.149,43,174,176,CD9
ROD1317SKF,1317 K,14800,4,1,1,0.000019888785356580468,1,4.956,45,184,186,CD9
ROD1318SKF,1318 K,14900,7,5,2,0.000040083012084473297,5,5.808,53,200,205,CD2
ROD1319SKF,1319 K,15000,5,1,1,0.00003935085626040601,1,6.712,58,210,215,BD9
ROD1320SKF2,1320 K,15100,15,13,1,0.00028259546869768143,8,8.286,58,230,235,OO9
ROD5012SKF,VKC 5012,15400,2,2,2,0.000003200705883001305,2,0.233,22,76,76,OO9
ROD3584SKF2,VKC 3584,15420,3,3,3,0.000007793793534886143,3,0.238,47,82,83,CD2
ROD3626SKF,VKC 3626,15460,1,1,1,0.0000023861955595016783,1,0.336,64,95,97,OO9
ROD5006SKF2,VKC 5006,15600,94,65,28,0.00006343937360069659,25,0.527,37,76,76,CB1
ROD5052SKF,VKC 5052 H,15700,175,109,52,0.00011610107988327692,35,0.318,72,72,36,BB1
ROD4008SKF,N4008-SA,15720,2,2,2,0.000003999579276228967,2,0.2699,47,88,88,CD9
ROD4628SKF,VKC 4628 A,15740,12,11,7,0.000036070575776687374,8,2.18,1,110,110,CD1
ROD4629SKF,VKC 4629 A,15780,6,8,6,0.000019338712898346716,6,1.033,1,92,92,CD2
ROD4709SKF,VKC 4709 A,15880,14,11,6,0.00003907599377495882,7,2.05,1,100,100,CC1
ROD4711SKF,VKC 4711 A,15940,32,29,16,0.0001088729957368965,19,0.988,1,126,126,BC1
ROD5003SKF,VKC 5003,16500,120,89,47,0.0001505016315069186,33,0.69,41,83,83,BB1
ROD5021SKF,VKC 5021,16610,14,15,13,0.000024264693421354696,9,0.448,22,97,97,CD2
ROD5007SKF2,VKC 5007,16800,106,83,36,0.00006019488431293376,30,0.466,54,64,64,CB1
ROD5060SKF,VKC 5060,16810,21,20,15,0.000021967454620733523,15,0.801,55,92,92,CC1
ROD2039SKF,VKC 2039,16900,7,4,4,0.000004593087651884839,4,0.292,33,93,93,CD2
ROD5002SKF,VKC 5002,17000,697,330,117,0.000503002170729084,36,0.338,22,93,93,AB1
ROD5061SKF,VKC 5061,17020,27,25,17,0.000027680841454769723,12,0.779,55,92,92,CC1
ROD5009SKF,VKC 5009,17200,11,11,11,0.000018325092329384086,10,0.28,21,83,83,CD2
ROD2176SKF,VKC 2176 H,17400,1,1,1,0.0000013597179589820983,1,0.67,118,132,42,OO9
ROD5011SKF,VKC 5011,17600,3,3,3,0.0000030269622133128178,3,0.275,21,84,84,CD2
ROD2051SKF,VKC 2051,17900,28,19,10,0.000013356023376293362,15,0.175,49,76,78,CC1
ROD2169SKF,VKC 2169 H,18100,423,147,55,0.00018498558009201062,34,0.23,65,95,97,BB1
ROD5169SKF,VKC 5169,18100,30,22,17,0.000013070736270664867,15,0.392,72,109,47,CC1
ROD2054SKF,VKC 2054,18200,1,1,1,7.384105961760691E-7,1,0.263,49,76,78,CD9
ROD2151SKF,VKC 2151,18350,1,3,2,0.0000020560825870935537,2,0.2258,64,95,97,CD9
ROD5014SKF3,VKC 5014,18400,6,6,4,0.00000362498792438059,5,0.232,26,72,72,CD2
ROD5025SKF2,VKC 5025,18600,1,1,1,0.0000011328087263689344,1,0.25,26,72,72,CD9
ROD5045SKF,VKC 5045,19000,12,9,6,0.000008770232958535438,8,0.272,36,72,72,CD2
ROD5008SKF2,VKC 5008,19100,15,11,6,0.000008174987146182684,10,0.433,48,72,72,CD2
ROD2130SKF,VKC 2130,19500,25,15,8,0.000015796079473398473,12,0.254,64,95,97,CD1
ROD2044SKF,VKC 2044,19810,367,175,79,0.0002865675964740995,34,0.4,85,85,25,BB1
ROD306775SKF,306775 B,19900,9,13,11,0.0000273552458177735,11,0.539,32,94,96,CD1
ROD2089SKF,VKC 2089,20100,5,4,4,0.00000461706427830185,4,0.707,49,95,95,OO9
ROD4651SKF,VKC 4651 A,20110,24,23,11,0.000046687703944011435,15,0.646,1,92,92,CC1
ROD2062SKF,VKC 2062,20400,1,1,1,0.0000034429045585470553,1,0.59,118,132,42,CD9
ROD2155SKF,VKC 2155,20400,1,1,1,0.000004835981302109343,1,0.656,118,132,42,OO9
ROD2077SKF,VKC 2077,20410,7,7,5,0.000012706569538997798,6,0.7,118,132,42,CD1
ROD5033SKF,VKC 5033 H,20500,1,1,1,0.000001347555902103904,1,0.688,34,104,104,OO9
ROD5063SKF,VKC 5063 A,21050,1,1,1,0.0000018781690693325428,1,1.24,90,125,115,OO9
ROD2068SKF,VKC 2068,21100,1,1,1,0.000001412536034567398,1,0.44,64,95,97,CD9
ROD5261SKF,VKC 5261 H,21170,1,5,3,0.000002548819634330102,4,1.292,23,76,78,CD2
ROD5260SKF,VKC 5260 H,21190,9,11,7,0.000014922843789544137,8,0.882,23,76,78,CD1
ROD5062SKF,VKC 5062,21210,175,135,52,0.00017663476435210326,35,0.871,54,96,96,BB1
ROD3554SKF,VKC 3554,21240,10,7,6,0.000027739566815124435,5,0.2,49,76,78,CD9
ROD3600SKF2,VKC 3600,21250,5,5,4,0.000008280623297353282,5,0.3511,64,95,97,CD9
ROD4093SKF2,N4093,21260,4,4,4,0.000011059479550350942,3,0.4831,64,83,83,CD2
ROD3675SKF,VKC 3675,21290,10,12,9,0.00001551600467786063,11,0.135,38,83,83,CD1
ROD3672SKF,VKC 3672,21350,2,1,1,0.000002489746786636017,1,0.402,64,95,97,CD9
ROD3672SKF2,VKC 3672 A,21350,751,399,136,0.0012734305978426865,34,0.26,98,94,62,AB1
ROD3673SKF,VKC 3673,21360,1,1,1,8.954748735744612E-7,1,0.145,38,83,83,CD9
ROD3623SKF,VKC 3623,21450,1,1,1,5.427752241068329E-7,1,0.173,64,95,97,CD9
ROD3502SKF,VKC 3502,21600,5,4,4,0.0000032886201798636786,4,0.2115,49,76,78,CD2
ROD3500SKF2,VKC 3500,21800,18,16,9,0.000015164347490411134,12,0.297,49,76,78,CC1
ROD3606SKF,VKC 3606,21850,11,10,7,0.00001228124503560038,10,0.303,38,83,83,CD1
ROD3511SKF,VKC 3511,21900,3,3,2,0.000002327817686486347,3,0.229,49,76,78,CD2
ROD3622SKF,VKC 3622,21960,34,33,21,0.00007659176939611504,22,0.2695,52,82,82,BC1
ROD3509SKF,VKC 3509,22000,1,3,2,7.241636152616131E-7,2,0.112,49,76,78,OO9
ROD3505SKF,VKC 3505,22010,2,2,2,8.819228673387593E-7,2,0.192,49,76,78,CD9
ROD3578SKF2,VKC 3578,22020,3,3,3,0.0000034109357233243737,3,0.158,38,83,83,CD2
ROD2538SKF,VKC 2538,22030,4,4,3,0.000004789417998632829,3,0.167,49,76,78,CD2
ROD3615SKF,VKC 3615,22050,5,9,7,0.0000054423467093221625,7,0.342,64,95,97,CD1
ROD3579SKF,VKC 3579,22060,62,53,24,0.000051490326461540604,30,0.3937,52,82,82,CB1
ROD3628SKF,VKC 3628,22070,232,132,51,0.0002763400016142171,34,0.328,52,82,82,AB1
